"","Contig","moduleColor"
"483","Phel_clc_contig_420","red"
"484","Phel_clc_contig_2379","darkred"
"485","Phel_clc_contig_4813","magenta"
"486","Phel_clc_contig_1865","royalblue"
"487","Phel_clc_contig_4572","royalblue"
"488","Phel_clc_contig_309","darkred"
"489","Phel_clc_contig_6923","darkred"
"490","Phel_clc_contig_18565","tan"
"491","Phel_clc_contig_3275","tan"
"492","Phel_clc_contig_2283","darkred"
"493","Phel_clc_contig_4889","darkred"
"494","Phel_clc_contig_777","darkred"
"495","Phel_clc_contig_1955","royalblue"
"496","Phel_clc_contig_5637","royalblue"
"497","Phel_clc_contig_4833","royalblue"
"498","Phel_clc_contig_2046","magenta"
"499","Phel_clc_contig_7110","yellow"
"500","Phel_clc_contig_1604","royalblue"
"501","Phel_clc_contig_3421","red"
"502","Phel_clc_contig_484","red"
"503","Phel_clc_contig_5442","royalblue"
"504","Phel_clc_contig_5519","royalblue"
"505","Phel_clc_contig_9235","royalblue"
"506","Phel_clc_contig_493","royalblue"
"507","Phel_clc_contig_5166","red"
"508","Phel_clc_contig_9953","red"
"509","Phel_clc_contig_12273","tan"
"510","Phel_clc_contig_6433","purple"
"511","Phel_clc_contig_9055","purple"
"512","Phel_clc_contig_8842","tan"
"513","Phel_clc_contig_6428","royalblue"
"514","Phel_clc_contig_1721","darkred"
"515","Phel_clc_contig_216","darkred"
"516","Phel_clc_contig_130","darkred"
"517","Phel_clc_contig_17240","darkred"
"518","Phel_clc_contig_12358","purple"
"519","Phel_clc_contig_18718","turquoise"
"520","Phel_clc_contig_1420","turquoise"
"521","Phel_clc_contig_291","lightcyan"
"522","Phel_clc_contig_15690","darkred"
"523","Phel_clc_contig_2714","darkred"
"524","Phel_clc_contig_5174","darkred"
"525","Phel_clc_contig_6192","darkred"
"526","Phel_clc_contig_12782","turquoise"
"527","Phel_clc_contig_3218","turquoise"
"528","Phel_clc_contig_3757","grey60"
"529","Phel_clc_contig_7541","royalblue"
"530","Phel_clc_contig_4533","darkred"
"531","Phel_clc_contig_4710","tan"
"532","Phel_clc_contig_61","lightcyan"
"533","Phel_clc_contig_15258","turquoise"
"534","Phel_clc_contig_1639","turquoise"
"535","Phel_clc_contig_202","purple"
"536","Phel_clc_contig_360","lightcyan"
"537","Phel_clc_contig_16802","turquoise"
"538","Phel_clc_contig_22525","turquoise"
"539","Phel_clc_contig_6065","turquoise"
"540","Phel_clc_contig_3118","turquoise"
"541","Phel_clc_contig_4866","turquoise"
"542","Phel_clc_contig_15919","purple"
"543","Phel_clc_contig_7904","red"
"544","Phel_clc_contig_3782","royalblue"
"545","Phel_clc_contig_4180","royalblue"
"546","Phel_clc_contig_1504","darkred"
"547","Phel_clc_contig_8143","darkred"
"548","Phel_clc_contig_12147","turquoise"
"549","Phel_clc_contig_10981","turquoise"
"550","Phel_clc_contig_2427","turquoise"
"551","Phel_clc_contig_4200","turquoise"
"552","Phel_clc_contig_7628","royalblue"
"553","Phel_clc_contig_13864","royalblue"
"554","Phel_clc_contig_7180","turquoise"
"555","Phel_clc_contig_5602","grey60"
"556","Phel_clc_contig_240","lightcyan"
"557","Phel_clc_contig_9026","darkred"
"558","Phel_clc_contig_2712","royalblue"
"559","Phel_clc_contig_5042","turquoise"
"560","Phel_clc_contig_14650","purple"
"561","Phel_clc_contig_15018","purple"
"562","Phel_clc_contig_2203","purple"
"563","Phel_clc_contig_7558","purple"
"564","Phel_clc_contig_1019","darkred"
"565","Phel_clc_contig_4727","darkred"
"566","Phel_clc_contig_1224","turquoise"
"567","Phel_clc_contig_1112","royalblue"
"568","Phel_clc_contig_2826","red"
"569","Phel_clc_contig_3712","purple"
"570","Phel_clc_contig_458","red"
"571","Phel_clc_contig_884","royalblue"
"572","Phel_clc_contig_3071","darkred"
"573","Phel_clc_contig_296","brown"
"574","Phel_clc_contig_3665","royalblue"
"575","Phel_clc_contig_148","lightcyan"
"576","Phel_clc_contig_684","turquoise"
"577","Phel_clc_contig_634","darkred"
"578","Phel_clc_contig_324","brown"
"579","Phel_clc_contig_750","darkred"
"580","Phel_clc_contig_1378","royalblue"
"581","Phel_clc_contig_1605","turquoise"
"582","Phel_clc_contig_4627","royalblue"
"583","Phel_clc_contig_1649","turquoise"
"584","Phel_clc_contig_9242","royalblue"
"585","Phel_clc_contig_4093","royalblue"
"586","Phel_clc_contig_4815","royalblue"
"587","Phel_clc_contig_1507","red"
"588","Phel_clc_contig_8135","turquoise"
"589","Phel_clc_contig_5239","red"
"590","Phel_clc_contig_6400","red"
"591","Phel_clc_contig_6665","royalblue"
"592","Phel_clc_contig_16777","red"
"593","Phel_clc_contig_4022","red"
"594","Phel_clc_contig_3307","royalblue"
"595","Phel_clc_contig_812","royalblue"
"596","Phel_clc_contig_6982","royalblue"
"597","Phel_clc_contig_2554","royalblue"
"598","Phel_clc_contig_8057","royalblue"
"599","Phel_clc_contig_8681","royalblue"
"600","Phel_clc_contig_11386","royalblue"
"601","Phel_clc_contig_2240","royalblue"
"602","Phel_clc_contig_16229","royalblue"
"603","Phel_clc_contig_3628","royalblue"
"604","Phel_clc_contig_2208","royalblue"
"605","Phel_clc_contig_8080","royalblue"
"606","Phel_clc_contig_4404","royalblue"
"607","Phel_clc_contig_894","turquoise"
"608","Phel_clc_contig_2438","red"
"609","Phel_clc_contig_17809","royalblue"
"610","Phel_clc_contig_7766","royalblue"
"611","Phel_clc_contig_3932","royalblue"
"612","Phel_clc_contig_8813","royalblue"
"613","Phel_clc_contig_9547","turquoise"
"614","Phel_clc_contig_2977","royalblue"
"615","Phel_clc_contig_4703","royalblue"
"616","Phel_clc_contig_7137","royalblue"
"617","Phel_clc_contig_19685","yellow"
"618","Phel_clc_contig_15221","yellow"
"619","Phel_clc_contig_6408","yellow"
"620","Phel_clc_contig_4716","pink"
"621","Phel_clc_contig_2201","brown"
"622","Phel_clc_contig_3578","brown"
"623","Phel_clc_contig_1665","tan"
"624","Phel_clc_contig_9657","tan"
"625","Phel_clc_contig_16015","yellow"
"626","Phel_clc_contig_16939","yellow"
"627","Phel_clc_contig_2747","yellow"
"628","Phel_clc_contig_1761","yellow"
"629","Phel_clc_contig_2802","red"
"630","Phel_clc_contig_1654","salmon"
"631","Phel_clc_contig_365","pink"
"632","Phel_clc_contig_3127","yellow"
"633","Phel_clc_contig_255","lightgreen"
"634","Phel_clc_contig_1808","tan"
"635","Phel_clc_contig_20","tan"
"636","Phel_clc_contig_12741","red"
"637","Phel_clc_contig_5641","red"
"638","Phel_clc_contig_315","red"
"639","Phel_clc_contig_2323","red"
"640","Phel_clc_contig_7024","red"
"641","Phel_clc_contig_9195","yellow"
"642","Phel_clc_contig_4099","pink"
"643","Phel_clc_contig_9982","pink"
"644","Phel_clc_contig_2232","tan"
"645","Phel_clc_contig_4379","tan"
"646","Phel_clc_contig_1064","red"
"647","Phel_clc_contig_1171","red"
"648","Phel_clc_contig_16258","salmon"
"649","Phel_clc_contig_4308","red"
"650","Phel_clc_contig_9012","red"
"651","Phel_clc_contig_9771","yellow"
"652","Phel_clc_contig_2659","red"
"653","Phel_clc_contig_2392","red"
"654","Phel_clc_contig_9671","red"
"655","Phel_clc_contig_5986","royalblue"
"656","Phel_clc_contig_8757","red"
"657","Phel_clc_contig_8374","red"
"658","Phel_clc_contig_4101","yellow"
"659","Phel_clc_contig_4594","brown"
"660","Phel_clc_contig_4430","darkred"
"661","Phel_clc_contig_63","darkred"
"662","Phel_clc_contig_119","midnightblue"
"663","Phel_clc_contig_2021","greenyellow"
"664","Phel_clc_contig_10332","lightgreen"
